Name,onine_since,Image,categories,Category,Sub-category,Designer,Condition,Material,Color,Size,Location,Reference,Price,price_with_discount,Link
Patent leather tote Chanel White in Patent leather - 41999154,2024-03-05,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/white-patent-leather-chanel-handbag-41999154-1_3.jpg",Women,Bags,Handbags,Chanel,Good condition,Patent leather,White,Vintage,"United States, from the seller Isabella",41999154,$660,$321.20,https://www.vestiairecollective.com/women-bags/handbags/chanel/white-patent-leather-chanel-handbag-41999154.shtml
Mini dress Zimmermann Multicolour size 1 0-5 in Cotton - 40143605,2024-01-07,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/multicolour-cotton-zimmermann-dress-40143605-1_2.jpg",Women,Clothing,Dresses,Zimmermann,Very good condition,Cotton,Multicolour,1 0-5,"United States, from the seller Sara",40143605,$385,$337.70,https://www.vestiairecollective.com/women-clothing/dresses/zimmermann/multicolour-cotton-zimmermann-dress-40143605.shtml
Baguette handbag Fendi White in Cotton - 42413048,2024-03-18,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/white-cotton-baguette-fendi-handbag-42413048-1_2.jpg",Women,Bags,Handbags,Fendi,Baguette,Very good condition,Cotton,White,Vintage,"United States, from the seller BGFY",$583,,https://www.vestiairecollective.com/women-bags/handbags/fendi/white-cotton-baguette-fendi-handbag-42413048.shtml
Jacket The North Face White size 14 years - S UK in Synthetic - 41653017,2024-02-23,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/white-synthetic-the-north-face-jacket-coat-41653017-1_2.jpg",Kids,Girls,Jackets & Coats,The North Face,Very good condition,Synthetic,White,14 years - S UK,"United States, from the seller Aubree",41653017,$137.50,,https://www.vestiairecollective.com/kids-girls/jackets-coats/the-north-face/white-synthetic-the-north-face-jacket-coat-41653017.shtml
Cloth trainers Nike Grey size 6 US in Cloth - 41872112,2024-03-01,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/grey-cloth-nike-trainers-41872112-1_2.jpg",Kids,Shoes,Trainers,Nike,Never worn,Cloth,Grey,6 US,"United States, from the seller MARIA",41872112,$66,,https://www.vestiairecollective.com/kids-shoes/trainers/nike/grey-cloth-nike-trainers-41872112.shtml
Pants Gucci Green size 1 mois - jusqu'à 55cm FR in Cotton - 42354417,2024-03-16,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/green-cotton-gucci-trousers-42354417-1_2.jpg",Kids,Boys,Trousers,Gucci,"Never worn, with tag",Cotton,Green,1 mois - jusqu'à 55cm FR,"United States, from the seller Emma",42354417,$82.50,,https://www.vestiairecollective.com/kids-boys/trousers/gucci/green-cotton-gucci-trousers-42354417.shtml
Air jordan 1 cloth lace up boots JORDAN White size 7 UK in Cloth - 42310291,2024-03-14,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/white-cloth-air-jordan-1-jordan-lace-up-boots-42310291-1_2.jpg",Kids,Shoes,Lace up boots,JORDAN,Air Jordan 1,Fair condition,Cloth,White,7 UK,"United States, from the seller manuel",$379.48,,https://www.vestiairecollective.com/kids-shoes/lace-up-boots/jordan/white-cloth-air-jordan-1-jordan-lace-up-boots-42310291.shtml
Leather handbag Louis Vuitton White in Leather - 42813428,2024-03-31,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/white-leather-louis-vuitton-handbag-42813428-1_2.jpg",Women,Bags,Handbags,Louis Vuitton,Good condition,Leather,White,"Japan, from the seller Timeless Vintage",42813428,,$407,,https://www.vestiairecollective.com/women-bags/handbags/louis-vuitton/white-leather-louis-vuitton-handbag-42813428.shtml
Sicily leather handbag Dolce & Gabbana Multicolour in Leather - 42452478,2024-03-27,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/multicolour-leather-sicily-dolce-gabbana-handbag-42452478-1_1.jpg",Women,Bags,Handbags,Dolce & Gabbana,Sicily,Very good condition,Leather,Multicolour,Vestiaire Collective United States,42452478,$527,,https://www.vestiairecollective.com/women-bags/handbags/dolce-gabbana/multicolour-leather-sicily-dolce-gabbana-handbag-42452478.shtml
Swimwear Versace Multicolour size XXL International in Polyester - 42704908,2024-03-27,"https://images.vestiairecollective.com/images/resized/w=1246,q=75,f=auto,/produit/multicolour-polyester-versace-swimwear-42704908-1_2.jpg",Men,Clothing,Swimwear,Versace,"Never worn, with tag",Polyester,Multicolour,XXL International,"United States, from the seller Alex",Private sale,$170,$153,https://www.vestiairecollective.com/men-clothing/swimwear/versace/multicolour-polyester-versace-swimwear-42704908.shtml
